學校名稱,lat,lng,TWD97_X,TWD97_Y
國立虎尾科技大學,23.7026129,120.4294895,191822.0889,2622205.427
國立臺南藝術大學,23.1860115,120.3743165,185947.0955,2565018.667
國立臺南大學,22.9847814,120.2079978,168799.137,2542817.085
國立臺北教育大學,25.023387,121.5453446,305037.1943,2768478.747
國立臺中教育大學,24.1436581,120.6718274,216648.2414,2670972.066
國立澎湖科技大學,23.5745775,119.5810053,105148.4466,2608627.578
國立勤益科技大學,24.1436055,120.7317181,222734.8781,2670953.282
樹德科技大學,22.7638734,120.3761881,185940.0345,2518271.461
慈濟大學,23.9928054,121.5912448,310158.2552,2654352.559
臺北醫學大學,25.0253584,121.5616235,306679.2194,2768703.824
中山醫學大學,24.122047,120.6511434,214540.178,2668583.708
龍華科技大學,25.0192933,121.4020546,290577.2652,2767974.739
輔英科技大學,22.6026893,120.3896885,187253.1234,2500417.288
元培醫事科技大學,24.776337,120.9428296,244218.8166,2741005.826
長榮大學,22.904739,120.275107,175636.1272,2533917.751
弘光科技大學,24.2172822,120.5807518,207416.6868,2679150.758
中國醫藥大學,24.1560757,120.6803671,217519.2651,2672345.315
健行科技大學,24.9472212,121.2291186,273137.1401,2759951.221
正修科技大學,22.650984,120.3489274,183085.6812,2505782.827
萬能科技大學,24.9902321,121.2321395,273434.0537,2764715.71
玄奘大學,24.7743891,120.9434509,244281.5545,2740790.053
中原大學,24.957537,121.2410215,274337.1104,2761095.897
淡江大學,25.1740706,121.4473008,295087.0148,2785133.028
中國文化大學,25.1359859,121.5389375,304340.8363,2780948.306
逢甲大學,24.178824,120.6466926,214103.6332,2674872.935
靜宜大學,24.2258027,120.5771913,207057.8971,2680095.513
國立政治大學,24.9861694,121.5771149,308261.1327,2764369.606
國立清華大學,24.7961217,120.9966699,249663.3072,2743195.947
國立臺灣大學,25.0173405,121.5397518,304475.4162,2767806.744
國立臺灣師範大學,25.0261538,121.5274867,303233.7147,2768778.075
景文科技大學,24.952911,121.509176,301416.2332,2760658.301
中華醫事科技大學,22.9608918,120.2436327,172439.1635,2540152.288
東南科技大學,25.0034002,121.6044633,311013.5759,2766290.213
德明財經科技大學,25.0865509,121.5654923,307041.3359,2775483.505
明道大學,23.8681411,120.4949742,198565.1984,2640511.979
南開科技大學,23.9792331,120.696843,219151.2773,2652756.421
長庚科技大學,25.0309866,121.3901211,289369.1367,2769266.413
臺北城市科技大學,25.133617,121.468879,297277.6709,2780659.522
敏實科技大學,24.7775247,121.0900718,259108.1525,2741139.165
醒吾科技大學,25.0803455,121.3976927,290117.1626,2774735.842
文藻外語大學,22.6703488,120.3191403,180034.0148,2507940.869
華夏科技大學,24.9812421,121.5074181,301226.9879,2763795.707
慈濟科技大學,23.9966876,121.564793,307465.0412,2654771.474
大同技術學院,23.469727,120.464865,195333.199,2596400.599
馬偕醫學院,25.254377,121.4950804,299870.4304,2794045.228
法鼓文理學院,25.245412,121.6169569,312152.1273,2793103.01
馬偕醫護管理專科學校,25.1222891,121.4644703,296837.4491,2779403.237
仁德醫護管理專科學校,24.622188,120.780827,227809.4717,2723949.165
樹人醫護管理專科學校,22.8834931,120.2613927,174217.3782,2531572.018
慈惠醫護管理專科學校,22.486071,120.4894273,197463.4843,2487465.621
耕莘健康管理專科學校,24.9770572,121.5368906,304204.3077,2763343.62
敏惠醫護管理專科學校,23.2799158,120.3287761,181332.9181,2575438.544
育英醫護管理專科學校,22.6500691,120.3332807,181477.0788,2505688.639
聖母醫護管理專科學校,24.6646906,121.7022666,321079.1243,2728820.709
新生醫護管理專科學校,24.8319445,121.2086202,271086.7053,2747179.764
崇仁醫護管理專科學校,23.478052,120.483115,197200.879,2597315.715
致理科技大學,25.0210986,121.4651279,296942.3208,2768195.076
康寧大學,23.0590248,120.1542518,163335.9669,2551069.68
宏國德霖科技大學,24.972325,121.4557677,296015.8036,2762789.505
東方設計大學,22.880716,120.2453799,172572.791,2531272.814
崇右影藝科技大學,25.1336644,121.7550685,326135.3674,2780795.692
國立臺灣海洋大學,25.1505447,121.7757756,328212.6378,2782677.379
國立中正大學,23.5633761,120.4728831,196190.3773,2606768.598
國立高雄師範大學,22.6236618,120.3210567,180207.363,2502770.151
國立成功大學,22.9988416,120.2195148,169988.2662,2544367.784
國立中興大學,24.123552,120.675326,216998.643,2668744.482
國立陽明交通大學,24.7868862,120.9974969,249746.903,2742173.033
國立中央大學,24.9679966,121.1922029,269406.0058,2762246.556
國立中山大學,22.628388,120.264737,174420.2919,2503320.99
建國科技大學,24.0662822,120.549876,204226.8342,2662437.043
明志科技大學,25.0410187,121.4222651,292609.5247,2770387.341
高苑科技大學,22.8409222,120.2646319,174526.2312,2526856.164
大仁科技大學,22.726916,120.542329,202988.899,2514116.791
聖約翰科技大學,25.2273378,121.4510391,295444.0556,2791034.533
嶺東科技大學,24.137825,120.609567,210318.9364,2670342.276
中國科技大學,24.9991431,121.5553747,306060.4767,2765797.476
長庚大學,25.0334479,121.3874856,289102.392,2769538.272
元智大學,24.9701632,121.2674614,277004.1321,2762499.4
中華大學,24.7571306,120.9522639,245172.0893,2738878.19
大葉大學,23.9997509,120.5956723,208862.7437,2655054.576
華梵大學,24.9808468,121.6910371,319765.1868,2763833.803
義守大學,22.7271723,120.4058219,188966.9468,2514194.9
世新大學,24.988664,121.543984,304915.3137,2764632.097
銘傳大學,24.9844926,121.3423688,284563.1746,2764103.555
中臺科技大學,24.173734,120.7351321,223088.1529,2674289.361
亞洲大學,24.046532,120.686421,218107.3458,2660211.989
開南大學,25.0112224,121.2698598,277237.2373,2767047.697
佛光大學,24.8164113,121.7236181,323151.4369,2745637.084
台南應用科技大學,23.0387,120.2394972,172059.7655,2548770.94
遠東科技大學,23.0646068,120.2943546,177695.8757,2551611.693
國立彰化師範大學,24.0812771,120.5587377,205133.2109,2664094.876
國立臺北大學,24.9438411,121.370802,287445.9166,2759608.427
國立嘉義大學,23.4681944,120.484174,197305.1417,2596223.67
國立高雄大學,22.7341433,120.2849143,176550.8115,2515021.661
國立東華大學,23.8975385,121.5418018,305167.8941,2643781.551
國立暨南國際大學,23.9511431,120.9306649,242943.0742,2649614.113
國立臺灣科技大學,25.0132583,121.5405609,304558.8816,2767354.904
