站點ID,站點名稱,站點地址,車站級別,lat,lng,TWD97_X,TWD97_Y
1001,臺北-環島,100230臺北市中正區,4,25.04811,121.51793,302259.9358,2771206.337
1010,萬華,108220臺北市萬華區富福里康定路 382 號,1,25.03348,121.49984,300440.5802,2769578.979
1020,板橋,2201新北市板橋區新民里站前路,1,25.01469,121.46352,296782.4722,2767484.675
1030,浮洲,22058新北市板橋區僑中里僑中二街 156 號,4,25.00419,121.44477,294893.8509,2766315.309
1040,樹林,23845新北市樹林區樹北里鎮前街 112 號,1,24.99121,121.42481,292883.624,2764871.133
1050,南樹林,23846新北市樹林區東山里中山路二段 230 號,4,24.98034,121.40891,291282.166,2763662.201
1060,山佳,23852新北市樹林區中山里山佳街 28 號,3,24.97233,121.39273,289651.239,2762770.162
1070,鶯歌,23942新北市鶯歌區東鶯里文化路 68-1號,2,24.95432,121.35535,285882.4268,2760764.925
1080,桃園,33041桃園市桃園區武陵里中正路 1 號,1,24.98941,121.31399,281696.9679,2764641.288
1090,內壢,32072桃園市中壢區中原里中華路一段 267 號,3,24.97287,121.25814,276062.4262,2762797.388
1100,中壢,32041桃園市中壢區石頭里中和路 139 號,1,24.95382,121.22571,272791.7129,2760681.539
1110,埔心,32653桃園市楊梅區埔心里永美路 208 號,3,24.91945,121.18366,268550.7282,2756868.276
1120,楊梅,32643桃園市楊梅區楊梅里大成路 256 號,3,24.91391,121.14634,264781.8455,2756250.087
1130,富岡,32649桃園市楊梅區富岡里成功路 37 號,3,24.93462,121.08313,258395.5786,2758538.556
1140,新富,32649桃園市楊梅區富豐里富全街 1 號,5,24.93107,121.06759,256826.3367,2758144.485
1150,北湖,30371新竹縣湖口鄉東興村北湖路 1 號,4,24.92191,121.05586,255642.0673,2757129.378
1160,湖口,30342新竹縣湖口鄉仁勢村中山路二段 121 號,3,24.90292,121.04412,254456.9658,2755025.6
1170,新豐,30442新竹縣新豐鄉山崎村新興路 202 號,3,24.86961,120.99654,249650.3799,2751335.462
1180,竹北,30265新竹縣竹北市竹義里和平街 59 號,3,24.83892,121.00936,250946.0264,2747936.277
1190,北新竹,30060新竹市 東區東園里中華路一段 291 之 2 號,4,24.80876,120.98385,248367.3048,2744595.844
1191,千甲,30059新竹市 東區水源里千甲路 142 號,4,24.80669,121.00301,250304.303,2744366.479
1192,新莊,30073新竹市 東區新莊里關東路 310 號,4,24.78819,121.02182,252206.2716,2742317.614
1193,竹中,31061新竹縣竹東鎮頭重里竹中路 145 號,4,24.78125,121.03117,253151.8474,2741549.133
1194,六家,30273新竹縣竹北市隘口里復興三路二段 229 號,4,24.80751,121.03921,253964.0014,2744457.867
1201,上員,310新竹縣竹東鎮上員里光明路 (無站房),5,24.77797,121.05554,255616.2406,2741186.626
1202,榮華,310新竹縣竹東鎮仁愛里北興路 (無站房),5,24.74851,121.08296,258390.9487,2737925.089
1220,三姓橋,30093新竹市 香山區香山里元培街 32 巷 30 號,4,24.78723,120.92838,242758.2763,2742213.007
1230,香山,30094新竹市 香山區朝山里中華路五段 347 巷 2 弄 27 號,4,24.76321,120.91391,241293.4933,2739553.431
1240,崎頂,35054苗栗縣竹南鎮崎頂里北戶 55 號,5,24.72281,120.87213,237063.9891,2735082.105
1250,竹南,35041苗栗縣竹南鎮竹南里中山路 166 號,1,24.68663,120.88041,237898.1432,2731074.139
2110,談文,36143苗栗縣造橋鄉談文村仁愛路 29 號,5,24.65641,120.85825,235652.2126,2727729.194
2120,大山,35658苗栗縣後龍鎮大山里明山路 180 號,4,24.64565,120.80376,230135.0768,2726544.234
2130,後龍,35641苗栗縣後龍鎮北龍里車站街 127-2 號,3,24.61621,120.78731,228464.8317,2723286.031
2140,龍港,35668苗栗縣後龍鎮龍京里公司寮 85 號,5,24.61169,120.75812,225508.4112,2722790.294
2150,白沙屯,35742苗栗縣通霄鎮白西里白西 131 號,3,24.56481,120.70824,220446.7778,2717607.817
2160,新埔,35742苗栗縣通霄鎮新埔里新埔 57 號,4,24.54018,120.69518,219117.8537,2714882.754
2170,通霄,35741苗栗縣通霄鎮通西里中正路 109 號,3,24.49141,120.67843,217408.2745,2709485.047
2180,苑裡,35841苗栗縣苑裡鎮苑北里中山路 165 號,3,24.44344,120.65146,214661.4066,2704178.742
2190,日南,43771臺中市大甲區孟春里中山路二段 140 巷 8 號,4,24.37805,120.65412,214913.0387,2696935.832
2200,大甲,43744臺中市大甲區大甲里中山路一段 828 號,2,24.34448,120.62702,212153.9361,2693224.94
2210,臺中港,43642臺中市清水區頂湳里甲南路 2 號,2,24.30441,120.60231,209633.9126,2688793.994
2220,清水,43653臺中市南社里中正街 115 號,3,24.26364,120.56918,206257.1674,2684288.587
2230,沙鹿,43353臺中市沙鹿區沙鹿里中正街 94 號,2,24.23702,120.55752,205063.915,2681344.05
2240,龍井,43450臺中市龍井區龍泉里龍新路 1 號,3,24.19745,120.54336,203611.5476,2676966.2
2250,大肚,43242臺中市大肚區頂街里平和街 121 號,3,24.15401,120.54255,203513.5301,2672155.4
2260,追分,43245臺中市大肚區王田里追分街 13 號,3,24.12061,120.57014,206305.9376,2668447.426
3140,造橋,36144苗栗縣造橋鄉造橋村平仁路 54 號,5,24.64206,120.86719,236555.5747,2726138.929
3150,豐富,35648苗栗縣後龍鎮校椅里高鐵一路 66 號,4,24.60131,120.82357,232134.1012,2721630.568
3160,苗栗,3603苗栗縣苗栗市上苗里為公路 1 號,1,24.57002,120.82264,232035.4627,2718165.133
3170,南勢,36063苗栗縣苗栗市新英里南勢 39 號,5,24.52234,120.79157,228880.4384,2712888.712
3180,銅鑼,36641苗栗縣銅鑼鄉銅鑼村大同路 13 號,3,24.48648,120.78616,228326.1102,2708917.877
3190,三義,36741苗栗縣三義鄉雙湖村雙湖 90 號,3,24.42066,120.77393,227074.6198,2701630
3210,泰安,42156臺中市后里區泰安里安眉路 37 之 12 號,4,24.33146,120.74181,223798.9968,2691756.492
3220,后里,42142臺中市后里區義里里甲后路一段 1 號 （本站無障礙電梯2022/12/12起進行電梯系統改善工程，因施工原因需停用約1個月。）,3,24.30933,120.73288,222888.0742,2689307.249
3230,豐原,42056臺中市豐原區豐原里中正路 1 號,1,24.25413,120.72291,221863.9839,2683195.712
3240,栗林,427臺中市潭子區潭豐路二段747號,4,24.23481,120.71069,220618.7085,2681058.51
3250,潭子,42751臺中市潭子區中山路二段352-1號,3,24.21255,120.70584,220120.9637,2678594.214
4130,柳營,73657臺南市柳營區東昇里建國路 1 號,4,23.27762,120.32252,180691.7022,2575187.279
4140,林鳳營,73444臺南市六甲區中社里林鳳營 16 號,4,23.24259,120.32107,180525.204,2571308.682
4150,隆田,72041臺南市官田區隆田里中山路一段 1 號,2,23.19271,120.31917,180304.8938,2565785.81
4160,拔林,72044臺南市官田區拔林里拔子林 83 之 1 號,5,23.17287,120.32117,180499.3882,2563587.754
4170,善化,74154臺南市善化區光文里中山路 1 號,2,23.13333,120.30653,178979.6128,2559216.13
4180,南科,74443臺南市新市區大營里大營 287-300 號,4,23.10714,120.30175,178476.1822,2556318.177
4190,新市,74448臺南市新市區新和里中華路 1 號,3,23.06816,120.29004,177255.6739,2552007.313
4200,永康,71090臺南市永康區埔園里中山路 459 號,2,23.03825,120.25347,173491.5729,2548713.736
4210,大橋,71049臺南市永康區西橋里中華路 835 號,4,23.01923,120.22429,170489.7676,2546623.001
4220,臺南,70146臺南市東區成大里北門路二段 4 號,1,22.99719,120.21249,169267.1023,2544188.736
4250,保安,71755臺南市仁德區保安里文賢路一段 529 巷 10 號,3,22.93296,120.23158,171187.0068,2537065.56
4260,仁德,71750臺南市仁德區保安里永德路 10 號,4,22.92364,120.24061,172107.8776,2536028.663
4270,中洲,71754臺南市仁德區中洲五街236號,2,22.90466,120.25286,173353.7626,2533920.414
4271,長榮大學,71150臺南市歸仁區大潭里長大路15 號,4,22.90735,120.27274,175394.7255,2534208.086
4272,沙崙,71151臺南市歸仁區沙崙里歸仁大道 102 號,4,22.92419,120.28635,176799.9903,2536066.076
4290,大湖,82144高雄市路竹區甲南里天祐路 24 號,3,22.87821,120.25384,173439.4625,2530990.884
4300,路竹,82146高雄市路竹區竹南里中正路 288 號,3,22.85404,120.26619,174693.3755,2528307.996
4310,岡山,82065高雄市岡山區碧紅里岡燕路 111 號,1,22.79221,120.29984,178114.346,2521444.386
4320,橋頭,82548高雄市橋頭區橋頭里站前街 14 號,3,22.76098,120.31011,179152.685,2517981.162
4330,楠梓,81162高雄市楠梓區惠楠里建楠路 229 號,2,22.72717,120.32453,180616.5109,2514230.391
4340,新左營,81314高雄市左營區尾北里站前北路 1 號,1,22.68754,120.30678,178772.6925,2509850.393
4350,左營,81314高雄市左營區翠華路1050號地下1層,4,22.67557,120.29555,177612.5017,2508530.331
4360,內惟,80456高雄市鼓山區翠華路500號地下1層,4,22.66607,120.28738,176767.8994,2507482.357
4370,美術館,80460高雄市鼓山區翠華路246號,4,22.65298,120.28163,176169.9792,2506035.688
4380,鼓山,80445高雄市鼓山區鐵路街20巷6號,4,22.64169,120.28071,176069.3795,2504785.955
4390,三塊厝,80748高雄市三民區德北里6鄰康平街1號,4,22.63901,120.29381,177414.4745,2504482.74
4400,高雄,80750高雄市三民區港西里建國二路 318 號,0,22.63801,120.30313,178371.9431,2504367.491
4410,民族,807高雄市三民區博惠里14鄰凱旋一路260號,4,22.63881,120.31479,179570.8695,2504450.514
4420,科工館,807高雄市三民區寶盛里15鄰大順三路307號,4,22.63702,120.32663,180786.9841,2504246.747
4430,正義,802高雄市苓雅區建軍里正義路 308 號 B1,4,22.63425,120.34245,182411.7551,2503932.747
4440,鳳山,83064高雄市鳳山區曹公里曹公路 137 號,2,22.63131,120.35746,183953.2443,2503600.455
4450,後庄,83143高雄市大寮區後庄里民慶街 9 號,4,22.64013,120.39132,187437.8061,2504562.49
4460,九曲堂,84041高雄市大樹區久堂里久堂路鐵路巷 15 號,3,22.65658,120.42072,190466.8045,2506371.972
4470,六塊厝,90082屏東縣屏東市長安里光復路 392 號,5,22.66619,120.46491,195012.1822,2507419.09
5000,屏東,90078屏東縣屏東市擇仁里公勇路 62 號,1,22.66961,120.48627,197208.5656,2507790.049
5010,歸來,90043屏東縣屏東市歸來里歸仁路 5 之 4 號,5,22.65214,120.50294,198915.1573,2505849.752
5020,麟洛,90941屏東縣麟洛鄉田道村中華路站前巷 15 號,5,22.63478,120.51446,200092.8623,2503923.555
5030,西勢,91142屏東縣竹田鄉西勢村西豐路 2 號,3,22.61661,120.52677,201351.7962,2501907.509
5040,竹田,91144屏東縣竹田鄉履豐村豐明路29 號,4,22.58648,120.54009,202710.8255,2498566.927
5050,潮州,92045屏東縣潮州鎮新榮里信義路 111 號,1,22.55007,120.53662,202341.5113,2494536.37
5060,崁頂,92442屏東縣崁頂鄉崁頂村中正路 122 號,5,22.51311,120.51481,200085.0419,2490450.937
5070,南州,92643屏東縣南州鄉仁里村仁里路 86 號,3,22.49203,120.51159,199746.1565,2488117.85
5080,鎮安,92748屏東縣林邊鄉鎮安村永和路 4 號,5,22.45794,120.51151,199725.6219,2484343.141
5090,林邊,92744屏東縣林邊鄉仁和村仁愛路 33 號,3,22.43141,120.51538,200114.4345,2481404.233
5100,佳冬,931屏東縣佳冬鄉六根村復興路21號,4,22.41416,120.54782,203448.0279,2479483.768
5110,東海,94042屏東縣枋寮鄉東海村西安路 92 號,5,22.39903,120.57252,205986.1653,2477801.026
5120,枋寮,94043屏東縣枋寮鄉枋寮村儲運路 18 號,2,22.36786,120.59501,208292.5,2474343.275
5130,加祿,94145屏東縣枋山鄉加祿村會社 53 號,3,22.33085,120.62445,211314.168,2470237.459
5140,內獅,94150屏東縣枋山鄉加祿村南和 43 號,5,22.30615,120.64322,213241.238,2467497.855
5160,枋山,94350屏東縣獅子鄉內獅村內獅巷 84 號,4,22.26677,120.65968,214927.2914,2463133.609
5170,枋野,94350屏東縣獅子鄉內獅村內獅巷 88 號,3,22.28091,120.71709,220846.8211,2464687.052
5190,大武,96541臺東縣大武鄉大鳥村和平部落 33 號,3,22.36537,120.90091,239795.1887,2474014.834
5200,瀧溪,96345臺東縣太麻里鄉多良村大溪 37 號,4,22.46102,120.94176,244006.2434,2484603.469
5210,金崙,96344臺東縣太麻里鄉金崙村金崙 47 之 17 號,3,22.53161,120.96721,246627.1363,2492418.82
5220,太麻里,96346臺東縣太麻里鄉大王村站前路 2 號,3,22.61879,121.00505,250519.1293,2502071.643
5230,知本,95093臺東縣臺東市知本里知本路二段 900 巷 85 號,3,22.71023,121.06059,256224.3991,2512197.898
5240,康樂,95060臺東縣臺東市康樂里博物館路 51 巷 131 號,4,22.76406,121.09338,259589.1565,2518160.208
5999,潮州基地,92054屏東縣潮州鎮光春里光復路 616 號,4,22.52231,120.52642,201282.6898,2491465.817
6000,臺東,95058臺東縣臺東市岩灣里岩灣路 101 巷 598 號,1,22.79375,121.12326,262654.7869,2521450.027
6010,山里,95443臺東縣卑南鄉嘉豐村山里路 108 號,3,22.86194,121.13778,264138.4755,2529002.073
6020,鹿野,95542臺東縣鹿野鄉鹿野村中正路 38 號,3,22.91251,121.13696,264049.1241,2534601.691
6030,瑞源,95543臺東縣鹿野鄉瑞源村瑞景路一段 336 巷 8 號 之 1,3,22.95613,121.15902,266306.7813,2539434.11
6040,瑞和,95543臺東縣鹿野鄉瑞和村瑞景路三段 1 之 1 號,5,22.98001,121.15573,265966.6015,2542078.048
6050,關山,95662臺東縣關山鎮里壠里博愛路 2 號,3,23.04564,121.16441,266848.389,2549346.453
6060,海端,95664臺東縣關山鎮德高里西莊 49 號,4,23.10292,121.17676,268106.3244,2555690.792
6070,池上,95862臺東縣池上鄉福文村鐵花路 30 號,3,23.12605,121.21956,272486.6819,2558258.044
6080,富里,98341花蓮縣富里鄉富里村車站街 56 號,3,23.17935,121.24864,275454.9105,2564165.042
6090,東竹,98391花蓮縣富里鄉新興村新興 26 號,3,23.22612,121.27844,278495.8317,2569349.72
6100,東里,98392花蓮縣富里鄉東里村大莊路 15 之 6 號,3,23.27233,121.30425,281126.5436,2574472.198
6110,玉里,98143花蓮縣玉里鎮中城里康樂街 39 號,1,23.33161,121.31181,281885.8486,2581038.407
6120,三民,98191花蓮縣玉里鎮三民里三民 10 號,3,23.42463,121.34561,285317.6256,2591347.263
6130,瑞穗,97841花蓮縣瑞穗鄉瑞穗村四維街 13 號,3,23.49739,121.37689,288493.0338,2599412.796
6140,富源,97843花蓮縣瑞穗鄉富源村富源路 2 號,3,23.58028,121.38003,288789.4197,2608593.061
6150,大富,97644花蓮縣光復鄉大富村明德路 1 號,5,23.60572,121.38969,289767.7507,2611413.014
6160,光復,97645花蓮縣光復鄉大安村中正路一段 2 之 1 號,3,23.66633,121.42125,292968.692,2618134.333
6170,萬榮,97543花蓮縣鳳林鎮長橋里長德街 17 號,3,23.71199,121.41907,292731.4633,2623190.281
6180,鳳林,97545花蓮縣鳳林鎮鳳智里中山路 43 號,3,23.74625,121.44708,295575.6934,2626993.105
6190,南平,97542花蓮縣鳳林鎮南平里自強路 233 號,3,23.78228,121.45833,296709.6811,2630986.939
6200,林榮新光,97542花蓮縣鳳林鎮兆豐路800號,4,23.80225,121.46205,297081.6069,2633199.776
6210,豐田,97451花蓮縣壽豐鄉豐山村站前街 36 號,4,23.84836,121.49619,300542.5702,2638318.082
6220,壽豐,97442花蓮縣壽豐鄉壽豐村壽山路 1 號,3,23.86901,121.51064,302006.248,2640610.259
6230,平和,97445花蓮縣壽豐鄉平和村平和路 1 號,5,23.88275,121.52036,302990.608,2642135.546
6240,志學,97443花蓮縣壽豐鄉志學村中正路 1 號,3,23.90751,121.52947,303908.0735,2644881.129
6250,吉安,97350花蓮縣吉安鄉南昌村南昌路1號,3,23.96825,121.58261,309290.8964,2651629.371
7000,花蓮,97055花蓮縣花蓮市國聯里國聯一路 100 號,0,23.99264,121.60158,311209.95,2654338.692
7010,北埔,97147花蓮縣新城鄉北埔村自強街 113 號,3,24.03251,121.60189,311222.6159,2658754.487
7020,景美,97243花蓮縣秀林鄉景美村加灣 178 之 1 號,4,24.09039,121.61103,312124.4616,2665168.836
7030,新城,97163花蓮縣新城鄉新城村新興一路 73 號,2,24.12761,121.64103,315155.8566,2669304.68
7040,崇德,97253花蓮縣秀林鄉崇德村海濱路 96 號,3,24.17199,121.65536,316589.4323,2674226.686
7050,和仁,97291花蓮縣秀林鄉和平村和仁 71 號,3,24.24219,121.71192,322296.9227,2682029.828
7060,和平,97291花蓮縣秀林鄉和平村和平 276 號,2,24.29825,121.75322,326457.6252,2688260.91
7070,漢本,27247宜蘭縣南澳鄉澳花村蘇花路一段 56 號,3,24.33542,121.76829,327964.6732,2692386.158
7080,武塔,27245宜蘭縣南澳鄉武塔村新溪路 18 號,5,24.44879,121.77601,328677.8773,2704947.322
7090,南澳,27092宜蘭縣蘇澳鎮南強里大通路 22 號,3,24.46342,121.80103,331205.326,2706582.205
7100,東澳,27291宜蘭縣南澳鄉東岳村東岳路 1 號,2,24.51828,121.83071,334177.7827,2712676.352
7110,永樂,27046宜蘭縣蘇澳鎮永樂里圳頭路 60 號,3,24.56843,121.84458,335549.3144,2718239.644
7120,蘇澳,27048宜蘭縣蘇澳鎮蘇南里太平路 1 號,2,24.59514,121.85144,336225.9218,2721202.418
7130,蘇澳新,27048宜蘭縣蘇澳鎮聖愛里中山路二段 238 之 1 號,1,24.60852,121.82719,333761.0854,2722669.46
7140,新馬,27048宜蘭縣蘇澳鎮新城里中山路二段 322 號,5,24.61535,121.82292,333324.161,2723423.382
7150,冬山,26946宜蘭縣冬山鄉冬山村中正路 1 號,3,24.63642,121.79221,330201.0628,2725738.906
7160,羅東,26550宜蘭縣羅東鎮大新里公正路 2 號,2,24.67795,121.77424,328355.824,2730328.541
7170,中里,26844宜蘭縣五結鄉中興村台興路 10 號,5,24.69415,121.77526,328448.9149,2732123.497
7180,二結,26843宜蘭縣五結鄉五結中路三段658巷8號,3,24.70529,121.77411,328325.5746,2733356.751
7190,宜蘭,26043宜蘭縣宜蘭市和睦里光復路 1 號,1,24.75462,121.75791,326656.1331,2738811.586
7200,四城,26245宜蘭縣礁溪鄉吳沙村站前路 24 號,4,24.78684,121.76268,327118.6909,2742383.109
7210,礁溪,26248宜蘭縣礁溪鄉德陽村溫泉路 1 號,3,24.82705,121.77523,328362.4539,2746844.133
7220,頂埔,26142宜蘭縣頭城鎮下埔里下埔路 4 之 8 號,5,24.84383,121.80918,331783.3362,2748722.722
7230,頭城,26146宜蘭縣頭城鎮纘祥路 59 號,2,24.85898,121.82253,333122.5473,2750408.915
7240,外澳,261宜蘭縣頭城鎮濱海路二段 217 號,5,24.88371,121.84576,335453.207,2753162.571
7250,龜山,26144宜蘭縣頭城鎮更新里濱海路三段 261 號,4,24.90486,121.86889,337775.3555,2755520.041
7260,大溪,26145宜蘭縣頭城鎮濱海路五段 63 號,5,24.93836,121.88983,339866.5397,2759244.487
7270,大里,26145宜蘭縣頭城鎮大里里濱海路六段 326 號,4,24.96688,121.92257,343151.7686,2762425.713
7280,石城,26145宜蘭縣頭城鎮濱海路七段 230 號,5,24.97832,121.94507,345414.8971,2763708.566
7290,福隆,22841新北市貢寮區福隆里福隆街 2 號,3,25.01598,121.94471,345349.4804,2767879.968
7300,貢寮,22843新北市貢寮區貢寮里朝陽街 33 號,4,25.02204,121.90872,341712.3096,2768526.393
7310,雙溪,22744新北市雙溪區新基里朝陽街 1 號,2,25.03861,121.86415,337202.1551,2770332.419
7320,牡丹,22741新北市雙溪區牡丹里51號,5,25.05877,121.84974,335733.9363,2772556.344
7330,三貂嶺,22446新北市瑞芳區碩仁里魚寮路 1 號,3,25.06555,121.82259,332989.9644,2773290.432
7331,大華,22643新北市平溪區南山里六分 12 之 1 號,5,25.04993,121.79751,330469.7715,2771545.053
7332,十分,22643新北市平溪區十分里十分街 51 號,4,25.04111,121.77514,328218.1156,2770554.953
7333,望古,226新北市平溪區望古里 (無站房),5,25.03445,121.76349,327046.6484,2769810.552
7334,嶺腳,22641新北市平溪區嶺腳里嶺腳寮 22 號,5,25.03021,121.74784,325469.8834,2769332.079
7335,平溪,22641新北市平溪區平溪里中華街 12 號,4,25.02552,121.73994,324675.4476,2768808.196
7336,菁桐,22642新北市平溪區菁桐里菁桐街 52 號,4,25.02384,121.72394,323061.6509,2768613.379
7350,猴硐,22446新北市瑞芳區光復里柴寮路 70 號,3,25.08711,121.82741,333461.6512,2775681.608
7360,瑞芳,22441新北市瑞芳區龍潭里明燈路三段 82 號,1,25.10861,121.80596,331283.6648,2778050.093
7361,海科館,2021基隆市中正區長潭里,5,25.13744,121.79987,330650.5135,2781239.956
7362,八斗子,202基隆市中正區砂子里省道臺 2 線 (與新北市瑞芳區交界處、無站房),5,25.13481,121.80411,331079.7855,2780951.171
7380,四腳亭,22449新北市瑞芳區吉慶里中央路 65 號,3,25.10281,121.76192,326845.5404,2777381.838
7390,暖暖,205基隆市暖暖區暖暖里暖暖街 51 號,5,25.10224,121.74048,324683.4176,2777306.671
1203,竹東,31047新竹縣竹東鎮雞林里東林路 196 號,2,24.73811,121.09465,259574.1251,2736773.972
1204,橫山,31241新竹縣橫山鄉橫山村橫山路 97 號 (無站房),5,24.72051,121.11657,261793.0583,2734826.343
1205,九讚頭,31242新竹縣橫山鄉大肚村中豐路二段 286 巷 29 號,4,24.72068,121.13621,263779.9653,2734847.004
1206,合興,31243新竹縣橫山鄉力行村中山街一段 17 號,5,24.71649,121.15434,265614.6496,2734384.874
1207,富貴,312新竹縣橫山鄉豐田村中山街一段 (無站房),5,24.71553,121.16729,266924.9393,2734280.084
1208,內灣,31243新竹縣橫山鄉內灣村中正路 6 號,4,24.70526,121.18247,268462.2366,2733144.56
1210,新竹,30060新竹市 東區榮光里中華路二段 445 號,1,24.80169,120.97156,247124.6759,2743812.981
