ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積,單價
TR-57,台南市,永康區,永二街,-0.300048509,None,5,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.25,-0.391903717,-0.355884736,1,172745,2546549,,-0.348097944,-0.092726048,-0.438451903,0.716122952
TR-58,高雄市,新興區,中正二路,-0.989186866,None,11,29,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.916666667,1.301834979,-0.334257492,1,179689,2503537,,0.855038778,1.047104908,-0.438451903,1.437542231
TR-59,新北市,三重區,元富二街,-0.075022268,None,16,21,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.083333333,0.084963012,0.903129845,1,300193,2774539,,-0.156297639,-0.715537873,0.547984954,2.472825742
TR-60,台北市,大安區,復興南路二段,0.400986461,None,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),38.91666667,0.39693727,-0.819325686,0,304979,2769150,,1.019115735,1.205793949,-0.438451903,4.393487459
TR-61,新北市,新店區,文化路,0.036517493,None,4,4,住家用,加強磚造,公寓(5樓含以下無電梯),49.91666667,-0.996892471,-0.819325686,0,305040,2763950,,-0.874275771,0.890122202,-0.438451903,2.144907888
TR-62,台南市,安平區,永華路二段,-0.630798389,None,22,22,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.5,-0.006388566,0.696126221,1,165790,2543390,,-0.331973139,-0.394747125,0.417741126,1.910680849
TR-63,台中市,西屯區,文心路三段,-1.220365699,None,7,28,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.333333333,-0.395350946,-0.819325686,0,215546,2674066,,-0.715007967,-0.340144444,-0.301802641,2.425980334
TR-64,新北市,三重區,捷運路,-0.914346354,None,17,24,住家用,鋼骨造,住宅大樓(11層含以上有電梯),24.58333333,0.43600587,-0.819325686,0,299053,2772146,,0.728303473,1.193849612,0.197821221,2.215175999
TR-65,基隆市,暖暖區,碇內街,0.75858183,None,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),13.25,0.542295442,0.516929053,1,326184,2776112,,0.563660733,0.171755686,-0.438451903,1.044040806
TR-66,台中市,潭子區,榮興街,-0.415217338,None,5,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.25,-0.249992775,-0.819325686,1,219607,2676037,,-0.532543075,-0.227526416,-0.000747237,1.044040806
TR-67,台南市,永康區,中華路,-0.77944597,None,8,16,其他,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.66666667,-0.132212438,-0.819325686,0,171641,2545004,,-0.015983551,-1.642077109,-0.438451903,0.786391063
TR-68,台中市,太平區,立文街,-0.339679853,None,14,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.833333333,0.377977509,0.631244488,1,221030,2672767,,0.138475101,0.004534977,0.176469774,1.278267844
TR-69,新北市,林口區,南勢,1.071234438,None,6,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),15.25,-0.114401753,-0.819325686,0,286189,2774245,,-0.153751617,-0.461294142,0.146577748,1.67645381
TR-70,桃園市,大園區,致祥一街,1.74131418,None,3,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9,2.038967526,1.942782376,2,271434,2766763,,1.732850498,1.043692241,0.714526241,1.709245596
TR-71,台北市,信義區,松山路,0.020342906,None,3,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),50.25,-0.831999999,-0.819325686,0,308422,2770252,,-0.328861335,-0.78208489,-0.438451903,3.222352266
TR-72,台中市,南區,崇倫北街,0.365681158,None,4,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),28.75,-0.871643137,-0.819325686,0,215050,2669488,,-0.440320509,-0.843512906,-0.438451903,1.06746351
TR-73,台北市,萬華區,成都路,-1.334356883,None,7,22,住家用,鋼骨造,住宅大樓(11層含以上有電梯),5.5,-0.99401978,-0.819325686,0,300657,2770667,,-1.221666294,-1.261564679,0.035550223,2.70705278
TR-74,台中市,潭子區,中山路二段,-0.448912392,None,8,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.833333333,-0.56254157,0.458226533,1,219937,2677471,,-0.751783836,-0.933948595,-0.438451903,1.79356733
TR-75,高雄市,鼓山區,美術東二路,-0.428459831,None,8,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.83333333,0.048192566,-0.062372134,1,176810,2506059,,-0.252763574,0.518141441,-0.081882736,1.442226772
TR-76,新北市,土城區,裕民路,-0.296155072,None,4,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.91666667,0.238939257,-0.819325686,0,295358,2764506,,0.229566102,1.243333292,-0.438451903,2.051217072
TR-77,新竹縣,竹北市,科大二街,0.4401131,None,12,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),7.416666667,-0.04086086,0.725477481,1,250768,2746044,,-0.412880053,-0.234351751,1.335853352,2.144907888
TR-78,台北市,文山區,興隆路三段,1.183903777,None,9,12,商業用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.41666667,1.919463574,0.994273232,2,306086,2765391,,2.025642999,0.775797839,8.4821827,1.957526257
TR-79,台北市,中山區,北安路,1.162129369,住,2,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),49.33333333,-0.940013186,-0.819325686,0,305403,2775142,,-0.362242509,-1.642077109,-0.438451903,3.362888489
TR-80,新北市,板橋區,金門街,-0.095090292,None,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),36,-0.532665583,-0.819325686,0,293380,2764364,,0.029561949,-0.005703026,-0.438451903,1.442226772
TR-81,新北市,新店區,文化路,-0.255105748,None,13,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),12.25,0.812328409,1.218269691,1,304895,2763604,,0.752066342,0.446475422,0.631255597,3.222352266
TR-82,新北市,板橋區,中山路一段,-0.361334092,None,3,4,住家用,加強磚造,公寓(5樓含以下無電梯),46.83333333,-1.156614098,-0.819325686,0,297440,2767536,,-1.059286685,0.439650087,-0.438451903,2.191753295
TR-83,台中市,北屯區,安順四街,-0.086966948,None,3,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),31.41666667,-0.084525765,0.311470232,1,218363,2674225,,0.082179732,-0.012528361,0.411335692,1.020618102
TR-84,台南市,安南區,生態二街,1.100723618,None,10,19,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.416666667,1.926932571,1.650814578,2,165853,2547249,,1.453636779,1.504402358,-0.438451903,1.37195866
TR-85,新北市,新店區,安德街,-0.844600957,None,3,13,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.083333333,-0.597013864,-0.819325686,0,301724,2761757,,-0.800441141,-0.908353589,0.494606336,2.332289519
TR-86,台北市,中正區,和平西路二段,0.910954613,住,4,7,其他,鋼筋混凝土造,華廈(10層含以下有電梯),42.66666667,1.375375872,-0.819325686,0,301846,2768979,,2.456769348,4.089498016,-0.438451903,3.081816042
TR-87,台北市,中山區,龍江路,1.576900582,None,7,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),37.75,5.134004959,-0.819325686,0,304556,2771794,,6.324742164,-0.485182815,-0.438451903,2.800743596
TR-88,新竹縣,竹北市,六家五路二段,0.052091241,None,7,24,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.916666667,0.14414045,0.659050945,1,253785,2743737,,-0.034937269,-0.915178924,0.716661386,2.051217072
TR-89,新北市,新莊區,新北大道三段,0.300574239,None,5,25,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),7,1.378823102,2.882022702,2,296020,2772501,,1.011477669,0.545442781,-0.438451903,2.472825742
TR-90,高雄市,左營區,孟子路,-0.098406924,None,13,15,其他,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.333333333,0.242386487,0.050398497,1,179652,2508174,,-0.122633573,-0.067131042,0.665417913,1.418804068
TR-91,桃園市,龜山區,文化七路,2.302810289,None,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),14.75,-0.070162309,-0.819325686,0,286697,2771590,,0.248519819,-0.014234695,0.680363926,1.231422437
TR-92,新北市,樹林區,大義路,-0.71001301,None,11,19,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),13,0.168271055,0.583355589,1,288210,2759821,,-0.031542573,-0.085900713,-0.438451903,1.770144626
TR-93,新北市,土城區,員林街,0.427519513,None,13,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),10.66666667,1.070296073,0.323828657,1,294710,2763389,,0.770454277,0.106915003,1.446880877,2.262021407
TR-94,台中市,大里區,德芳南路,-0.626736717,None,16,19,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),11.25,0.300989386,0.402613619,1,218184,2666510,,-0.090666856,-0.04836137,0.590687848,1.465649475
TR-95,新北市,汐止區,明峰街,0.406706449,None,16,18,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.083333333,1.005947792,0.82280008,1,314112,2773816,,0.726323234,0.147867013,1.325177629,1.957526257
TR-96,新北市,新莊區,福德二街,-0.098743394,None,11,11,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.583333333,-0.234480242,0.096742592,1,296628,2772250,,-0.617976249,-0.672879529,0.458308876,2.472825742
TR-97,屏東縣,屏東市,廣東路,0.529830387,None,2,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.25,-0.240800163,-0.819325686,0,196284,2509581,,-0.421649683,-0.939067597,1.088176566,1.090886213
TR-98,桃園市,中壢區,文智路,0.073433044,None,9,13,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),2.75,-0.288486836,0.923212286,1,270814,2765975,,-0.63127214,-0.218994747,-0.19718055,1.770144626
TR-99,新北市,新店區,三民路,0.698281623,None,2,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),48.25,-0.457401075,-0.819325686,0,303882,2762773,,0.040877601,0.670005146,-0.438451903,2.262021407
TR-100,新北市,三重區,集賢路,1.8835448,None,3,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.916666667,2.576735307,2.101897103,2,299303,2775866,,2.165108412,1.507815026,1.045473671,2.191753295
TR-101,基隆市,信義區,福民街,0.760240146,None,7,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),27,0.64341417,-0.819325686,0,328334,2780576,,0.996767321,0.535204778,0.398524824,0.692700248
TR-102,台北市,南港區,園區街,-0.018182894,None,8,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),11.16666667,0.238364719,0.762552757,1,311777,2772477,,-0.127442726,0.018185647,1.177852643,4.487178275
TR-103,新北市,板橋區,幸福路,0.074875058,None,3,4,住家用,加強磚造,公寓(5樓含以下無電梯),46.16666667,-1.020448538,-0.819325686,0,296505,2768216,,-0.492938292,-1.642077109,-0.438451903,2.051217072
TR-104,新竹市,新竹市,榮濱南路,0.550379082,None,7,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.166666667,0.14414045,1.252255361,0,242602,2747365,,-0.061529051,0.016479313,-0.438451903,1.395381364
TR-105,台北市,中山區,錦州街,-0.156231674,None,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),42.08333333,-0.20288064,-0.819325686,0,304548,2772609,,-0.08727216,1.715987745,-0.438451903,3.12866145
TR-106,新北市,淡水區,八勢路,9.033914031,None,4,6,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),5.166666667,4.777791258,3.702313184,2,296647,2782805,,3.910830657,2.04872283,-0.438451903,2.285444111
TR-107,台北市,松山區,新東街,-0.237729483,None,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),44.41666667,-0.947482183,-0.819325686,0,307400,2772340,,-0.614298662,-0.19339974,-0.438451903,3.667383639
TR-108,高雄市,楠梓區,常興街,0.256064082,None,3,15,住家用,其他,住宅大樓(11層含以上有電梯),7.916666667,0.901956372,0.016412827,1,182002,2514857,,0.45899095,0.67171148,0.607769006,1.231422437
TR-109,桃園市,大園區,大興路,-0.234629153,None,6,13,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.333333333,-0.564839723,0.804262442,1,269499,2772640,,-0.818263293,-0.039829701,-0.438451903,1.325113252
TR-110,新北市,板橋區,南雅東路,-1.259828807,None,6,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),14.58333333,-1.026768459,-0.819325686,0,295911,2766431,,-1.156035511,-1.241088674,0.09746942,2.51967115
TR-111,新北市,三重區,仁化街,-1.104403762,None,19,20,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),25.16666667,-0.507385901,0.36399354,1,299702,2772566,,-0.471721444,0.009653978,-0.224937432,2.70705278
TR-112,台北市,信義區,和平東路三段,-0.026306238,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),42.5,-0.803273088,-0.819325686,0,305922,2768388,,-0.445978335,0.207588695,-0.438451903,3.222352266
TR-113,新北市,泰山區,明志路二段,1.234830894,None,4,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),42.25,-0.355707808,-0.819325686,0,293017,2771071,,0.241447536,0.453300757,-0.438451903,1.231422437
TR-114,新北市,鶯歌區,育英街,0.810710626,None,7,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),23.66666667,0.238939257,0.08592897,1,285092,2760470,花台4.18㎡ ,0.578371081,0.240009036,0.454038586,1.325113252
TR-115,新北市,中和區,景平路,0.78807101,None,4,4,住家用,加強磚造,公寓(5樓含以下無電梯),48.33333333,-0.444186696,-0.819325686,0,300963,2765174,,0.25304608,-0.481770147,-0.438451903,2.191753295
TR-116,台北市,松山區,三民路,0.255295008,None,2,7,集合住宅,鋼筋混凝土造,華廈(10層含以下有電梯),30,-0.17702642,-0.819325686,0,306993,2772025,,-0.1998629,-0.53296016,-0.438451903,3.362888489
TR-117,新北市,新莊區,中華路一段,0.173028125,None,4,4,住家用,加強磚造,公寓(5樓含以下無電梯),45.41666667,-0.447633925,-0.819325686,0,295644,2770077,,0.208066362,-0.24288342,-0.438451903,1.653031106
TR-118,台中市,北區,育強街,0.418843397,None,7,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),39,0.825542788,-0.819325686,0,218854,2672799,,1.1373643,-0.522722158,0.204226655,0.983141776
